"CoxPH_0.6060606060606061_(0.30303030303030304, 0.8846153846153846)_fpr","CoxPH_0.6060606060606061_(0.30303030303030304, 0.8846153846153846)_tpr"
0.0,0.0
0.0,0.09090909090909091
0.0,0.2727272727272727
0.16666666666666666,0.2727272727272727
0.16666666666666666,0.45454545454545453
0.3333333333333333,0.45454545454545453
0.3333333333333333,0.6363636363636364
0.6666666666666666,0.6363636363636364
0.6666666666666666,0.7272727272727273
0.8333333333333334,0.7272727272727273
0.8333333333333334,0.9090909090909091
1.0,0.9090909090909091
1.0,1.0
