"svm_0.9615384615384616_(0.8461538461538461, 1.0)_fpr","svm_0.9615384615384616_(0.8461538461538461, 1.0)_tpr"
0.0,0.0
0.0,0.038461538461538464
0.0,0.9230769230769231
0.5,0.9230769230769231
0.5,1.0
1.0,1.0
