eval_times,actual_survival_probability,CoxPH,RSF,GBSA,DeepHit,NMTLR,svm,super_learner
0.0,1.0,1.0,1.0,1.0,0.9763250350952148,0.9997993111610413,1.0,1.0
0.24242424242424243,1.0,1.0,1.0,1.0,0.9710512161254883,0.9997327506341517,1.0,1.0
0.48484848484848486,1.0,1.0,1.0,1.0,0.9657773971557617,0.9996661901072621,1.0,1.0
0.7272727272727273,1.0,1.0,1.0,1.0,0.9605035781860352,0.9995996295803725,1.0,1.0
0.9696969696969697,1.0,1.0,1.0,1.0,0.9552297592163086,0.9995330690534829,1.0,1.0
1.2121212121212122,1.0,1.0,1.0,1.0,0.9499124156104194,0.9994193781104553,1.0,1.0
1.4545454545454546,1.0,1.0,1.0,1.0,0.9445811112721761,0.9992905698641382,1.0,1.0
1.696969696969697,1.0,1.0,1.0,1.0,0.9392498069339328,0.9991617616178211,1.0,1.0
1.9393939393939394,1.0,1.0,1.0,1.0,0.9339185025956895,0.9990329533715039,1.0,1.0
2.1818181818181817,1.0,0.9999886470111754,1.0,0.9976881677231563,0.9283891663406835,0.997597625761321,0.9973873389964208,0.9982679671363801
2.4242424242424243,1.0,0.9999735096927425,1.0,0.9946057246873647,0.922672799942068,0.9949283631963762,0.9939037909916487,0.9959585899848868
2.666666666666667,1.0,0.9999583723743096,1.0,0.9915232816515731,0.9169564335434525,0.9922591006314313,0.9904202429868766,0.9936492128333937
2.909090909090909,0.9880952380952381,0.9999500576795142,0.9853015504489058,0.9898301433866539,0.9112400671448371,0.9895898380664864,0.9885067839687935,0.9923807076970711
3.1515151515151514,0.9880952380952381,0.9999418693027864,0.9823130640247385,0.9878230227432162,0.9053999697319185,0.9868094581947584,0.9866337661103844,0.9912148459963147
3.393939393939394,0.9880952380952381,0.9999287679000218,0.9793245776005711,0.984611629713716,0.8992277522279759,0.9837308160785071,0.9836369375369298,0.9893494672751045
3.6363636363636367,0.9880952380952381,0.9999156664972573,0.9763360911764039,0.9814002366842157,0.8930555347240332,0.9806521739622559,0.9806401089634752,0.9874840885538944
3.878787878787879,0.9880952380952381,0.9999025650944927,0.9733476047522366,0.9781888436547155,0.8868833172200906,0.9775735318460047,0.9776432803900206,0.9856187098326842
4.121212121212121,0.9754273504273505,0.9998960143931105,0.9704815281376287,0.9765831471399654,0.8807266555249892,0.9745642350177572,0.9761448661032933,0.9846860204720791
4.363636363636363,0.9754273504273505,0.9998960143931105,0.9677378613325803,0.9765831471399654,0.8750988913304878,0.9739126779816367,0.9761448661032933,0.9846860204720791
4.606060606060606,0.9754273504273505,0.9998960143931105,0.964994194527532,0.9765831471399654,0.8694711271359864,0.9732611209455163,0.9761448661032933,0.9846860204720791
4.848484848484849,0.9754273504273505,0.9998960143931105,0.9622505277224837,0.9765831471399654,0.863843362941485,0.9726095639093958,0.9761448661032933,0.9846860204720791
5.090909090909091,0.9754273504273505,0.9998855222316633,0.9595068609174353,0.9742032426129389,0.8582155987469837,0.9719580068732753,0.973945157763916,0.9832459310196257
5.333333333333334,0.9754273504273505,0.9998575431344706,0.9567631941123869,0.9678568305408682,0.8512068942741111,0.9670168139316417,0.9680792688589098,0.97940569247975
5.575757575757576,0.9754273504273505,0.999829564037278,0.9540195273073385,0.9615104184687975,0.8438215697253192,0.9609057202885046,0.9622133799539037,0.9755654539398743
5.818181818181818,0.9754273504273505,0.9998015849400853,0.9512758605022902,0.9551640063967268,0.8364362451765273,0.9547946266453675,0.9563474910488975,0.9717252153999985
6.0606060606060606,0.9487033134293409,0.9997806006171909,0.9475772412619738,0.9504041973426738,0.8290509206277352,0.9486835330022304,0.9519480743701428,0.9688450364950917
6.303030303030303,0.9487033134293409,0.9997418788254517,0.9410137647158537,0.9438175524547416,0.821441523555152,0.9425651868585786,0.94395636667586,0.9644103986411391
6.545454545454546,0.9487033134293409,0.9997021762877452,0.9344502881697335,0.9370640809525805,0.8136434338309548,0.936440733346072,0.9357622449211217,0.959863440230804
6.787878787878788,0.9487033134293409,0.9996624737500386,0.9278868116236133,0.9303106094504195,0.8058453441067577,0.9303162798335657,0.9275681231663835,0.955316481820469
7.03030303030303,0.9199547281739063,0.9996186834631751,0.9208308186994175,0.9232396951082756,0.7980472543825605,0.9241918263210592,0.9189832028157017,0.9504870439257375
7.272727272727273,0.9199547281739063,0.9995462789322132,0.9103272111286927,0.9139466808862513,0.7908900042976995,0.9174034168021847,0.9076626922934147,0.9436802496402305
7.515151515151516,0.9199547281739063,0.9994738744012512,0.8998236035579679,0.904653666664227,0.785228046704623,0.9090657766017849,0.8963421817711278,0.9368734553547235
7.757575757575758,0.9199547281739063,0.9994014698702893,0.8893199959872431,0.8953606524422028,0.7795660891115465,0.9007281364013852,0.8850216712488408,0.9300666610692165
8.0,0.8747110530178125,0.9993290653393274,0.8788163884165182,0.8860676382201784,0.7739041315184699,0.8923904962009853,0.8737011607265539,0.9232598667837096
8.242424242424242,0.8747110530178125,0.9992944706153086,0.8712906964562904,0.8817027537458993,0.7682780499008769,0.8842580926538718,0.8689555523629043,0.9199284677168144
8.484848484848484,0.8747110530178125,0.9992256465322185,0.8637650044960625,0.8730190836124507,0.7632439218787633,0.8795120938859805,0.8595144553865005,0.9133008534580028
8.727272727272727,0.8747110530178125,0.9991568224491284,0.8562393125358347,0.864335413479002,0.7582097938566497,0.8747660951180891,0.8500733584100967,0.9066732391991912
8.96969696969697,0.8747110530178125,0.9990879983660382,0.8487136205756068,0.8556517433455533,0.753175665834536,0.8700200963501978,0.8406322614336927,0.9000456249403797
