feature,model,Train-C-index,Internal-Val-C-index,External-Val-C-index,Mean-Val-C-index
CoxPH,CoxPH,0.8766603415559773,0.8411764705882353,0.5078125,0.6744944852941177
CoxPH,RSF,0.9184060721062619,0.7588235294117647,0.7578125,0.7583180147058823
CoxPH,GBSA,0.9943074003795066,0.8117647058823529,0.7421875,0.7769761029411765
CoxPH,DeepSurv,0.7941176470588235,0.5529411764705883,0.6328125,0.5928768382352941
CoxPH,DeepHit,0.8851992409867173,0.7470588235294118,0.65625,0.7016544117647059
CoxPH,NMTLR,0.9459203036053131,0.7294117647058823,0.4921875,0.6107996323529412
CoxPH,svm,0.9174573055028463,0.7588235294117647,0.6328125,0.6958180147058823
CoxPH,"['CoxPH', 'RSF']",0.9184060721062619,0.7588235294117647,0.7578125,0.7583180147058823
CoxPH,"['CoxPH', 'GBSA']",0.99146110056926,0.8117647058823529,0.71875,0.7652573529411765
CoxPH,"['CoxPH', 'DeepSurv']",0.8130929791271347,0.6058823529411764,0.625,0.6154411764705883
CoxPH,"['CoxPH', 'DeepHit']",0.14041745730550284,0.25882352941176473,0.3203125,0.28956801470588234
CoxPH,"['CoxPH', 'NMTLR']",0.2836812144212524,0.3764705882352941,0.40625,0.39136029411764706
CoxPH,"['CoxPH', 'svm']",0.9184060721062619,0.7588235294117647,0.6328125,0.6958180147058823
CoxPH,"['RSF', 'GBSA']",0.9506641366223909,0.7588235294117647,0.7421875,0.7505055147058823
CoxPH,"['RSF', 'DeepSurv']",0.9174573055028463,0.7411764705882353,0.765625,0.7534007352941177
CoxPH,"['RSF', 'DeepHit']",0.9013282732447818,0.7176470588235294,0.7421875,0.7299172794117648
CoxPH,"['RSF', 'NMTLR']",0.8406072106261859,0.7058823529411765,0.75,0.7279411764705883
CoxPH,"['RSF', 'svm']",0.928842504743833,0.7529411764705882,0.7265625,0.7397518382352941
CoxPH,"['GBSA', 'DeepSurv']",0.8804554079696395,0.8,0.6484375,0.72421875
CoxPH,"['GBSA', 'DeepHit']",0.7713472485768501,0.6352941176470588,0.6484375,0.6418658088235294
CoxPH,"['GBSA', 'NMTLR']",0.7703984819734345,0.7235294117647059,0.6015625,0.662545955882353
CoxPH,"['GBSA', 'svm']",0.9905123339658444,0.8,0.6640625,0.73203125
CoxPH,"['DeepSurv', 'DeepHit']",0.7514231499051234,0.6941176470588235,0.5390625,0.6165900735294118
CoxPH,"['DeepSurv', 'NMTLR']",0.6888045540796964,0.49411764705882355,0.609375,0.5517463235294118
CoxPH,"['DeepSurv', 'svm']",0.872865275142315,0.7352941176470589,0.6484375,0.6918658088235294
CoxPH,"['DeepHit', 'NMTLR']",0.15654648956356737,0.25882352941176473,0.3671875,0.31300551470588234
CoxPH,"['DeepHit', 'svm']",0.6499051233396584,0.6941176470588235,0.609375,0.6517463235294118
CoxPH,"['NMTLR', 'svm']",0.22296015180265655,0.5352941176470588,0.4765625,0.5059283088235293
CoxPH,"['CoxPH', 'RSF', 'GBSA']",0.952561669829222,0.7588235294117647,0.734375,0.7465992647058823
CoxPH,"['CoxPH', 'RSF', 'DeepSurv']",0.9136622390891841,0.7588235294117647,0.7578125,0.7583180147058823
CoxPH,"['CoxPH', 'RSF', 'DeepHit']",0.7827324478178368,0.6411764705882353,0.78125,0.7112132352941176
CoxPH,"['CoxPH', 'RSF', 'NMTLR']",0.961100569259962,0.7941176470588235,0.71875,0.7564338235294117
CoxPH,"['CoxPH', 'RSF', 'svm']",0.9297912713472486,0.7705882352941177,0.734375,0.7524816176470588
CoxPH,"['CoxPH', 'GBSA', 'DeepSurv']",0.9193548387096774,0.7470588235294118,0.640625,0.6938419117647059
CoxPH,"['CoxPH', 'GBSA', 'DeepHit']",0.7182163187855788,0.6058823529411764,0.609375,0.6076286764705883
CoxPH,"['CoxPH', 'GBSA', 'NMTLR']",0.8339658444022771,0.7294117647058823,0.6015625,0.6654871323529412
CoxPH,"['CoxPH', 'GBSA', 'svm']",0.9895635673624289,0.8058823529411765,0.65625,0.7310661764705882
CoxPH,"['CoxPH', 'DeepSurv', 'DeepHit']",0.24667931688804554,0.2647058823529412,0.3203125,0.29250919117647056
CoxPH,"['CoxPH', 'DeepSurv', 'NMTLR']",0.29127134724857684,0.34705882352941175,0.40625,0.3766544117647059
CoxPH,"['CoxPH', 'DeepSurv', 'svm']",0.8975332068311196,0.7647058823529411,0.625,0.6948529411764706
CoxPH,"['CoxPH', 'DeepHit', 'NMTLR']",0.15844402277039848,0.2647058823529412,0.28125,0.27297794117647056
CoxPH,"['CoxPH', 'DeepHit', 'svm']",0.8747628083491461,0.7647058823529411,0.625,0.6948529411764706
CoxPH,"['CoxPH', 'NMTLR', 'svm']",0.9440227703984819,0.7823529411764706,0.6484375,0.7153952205882352
CoxPH,"['RSF', 'GBSA', 'DeepSurv']",0.9174573055028463,0.7294117647058823,0.671875,0.7006433823529412
CoxPH,"['RSF', 'GBSA', 'DeepHit']",0.8842504743833017,0.711764705882353,0.7421875,0.7269761029411765
CoxPH,"['RSF', 'GBSA', 'NMTLR']",0.9544592030360531,0.7588235294117647,0.75,0.7544117647058823
CoxPH,"['RSF', 'GBSA', 'svm']",0.9582542694497154,0.7823529411764706,0.71875,0.7505514705882352
CoxPH,"['RSF', 'DeepSurv', 'DeepHit']",0.8519924098671727,0.7235294117647059,0.765625,0.744577205882353
CoxPH,"['RSF', 'DeepSurv', 'NMTLR']",0.8481973434535104,0.7,0.7265625,0.71328125
